condition,class_id,class_name,precision,recall,mAP50,mAP50_95,precision_drop,recall_drop,mAP50_drop,mAP50_95_drop
clean_test,all,all,0.570036824316966,0.6603850404675075,0.6181471556985241,0.38234763361664975,0.0,0.0,0.0,0.0
clean_test,0,no_caries,0.73675109732167,0.9306706857573473,0.8858618597570541,0.5428024415290726,0.0,0.0,0.0,0.0
clean_test,1,mild_caries,0.5081375559363042,0.6710816777041942,0.5657344686504693,0.3648196407494481,0.0,0.0,0.0,0.0
clean_test,2,moderate_caries,0.3398433926248822,0.3218390804597701,0.2650661788898619,0.15748358844986005,0.0,0.0,0.0,0.0
clean_test,3,severe_caries,0.6954152513850075,0.717948717948718,0.7559261154967112,0.46428486373821826,0.0,0.0,0.0,0.0
color_shift_mild,all,all,0.5741948876772557,0.6572150484394483,0.6076414282463787,0.37612803837878206,-0.004158063360289677,0.003169992028059121,0.010505727452145397,0.006219595237867692
color_shift_mild,0,no_caries,0.7470406439916837,0.9186134137151469,0.8808243204165921,0.5399120715651535,-0.010289546670013694,0.012057272042200418,0.005037539340462027,0.002890369963919115
color_shift_mild,1,mild_caries,0.4979374329825671,0.7196467991169978,0.5640581164365306,0.3634588662346044,0.010200122953737067,-0.04856512141280356,0.0016763522139386922,0.0013607745148437322
color_shift_mild,2,moderate_caries,0.3232431690296963,0.3239333142589821,0.2488286083994671,0.1588823824484479,0.016600223595185926,-0.0020942337992119753,0.016237570490394787,-0.0013987939985878606
color_shift_mild,3,severe_caries,0.7285583047050758,0.6666666666666666,0.7368546677329247,0.44225883326692256,-0.03314305332006828,0.05128205128205132,0.019071447763786442,0.0220260304712957
color_shift_medium,all,all,0.5149054477437444,0.6440672208660327,0.5711056815635565,0.35054253243688155,0.05513137657322165,0.016317819601474715,0.04704147413496762,0.0318051011797682
color_shift_medium,0,no_caries,0.722355028346033,0.9035418236623964,0.8681362633557755,0.5258972157657216,0.014396068975636944,0.027128862094950912,0.017725596401278576,0.016905225763351073
color_shift_medium,1,mild_caries,0.44597447059467554,0.7637969094922737,0.5367109375252461,0.3498293396539881,0.06216308534162862,-0.0927152317880795,0.029023531125223156,0.014990301095460012
color_shift_medium,2,moderate_caries,0.2504365834544648,0.3448275862068966,0.22952392200377114,0.14650337494250742,0.08940680917041743,-0.022988505747126464,0.03554225688609075,0.01098021350735262
color_shift_medium,3,severe_caries,0.6408557085798039,0.5641025641025641,0.6500516033694329,0.37994019938530904,0.05455954280520359,0.15384615384615385,0.10587451212727828,0.08434466435290922
color_shift_severe,all,all,0.5141257924342267,0.579939719243726,0.5285871628991223,0.3222251195105138,0.05591103188273927,0.08044532122378145,0.08955999279940174,0.06012251410613595
color_shift_severe,0,no_caries,0.7356492455990948,0.8613413715146948,0.8461660916413918,0.5091154425994191,0.0011018517225751534,0.06932931424265254,0.03969576811566233,0.033686998929653544
color_shift_severe,1,mild_caries,0.43224805714521647,0.6865342163355408,0.4895239023091662,0.3161358668025202,0.0758894987910877,-0.015452538631346546,0.07621056634130308,0.04868377394692791
color_shift_severe,2,moderate_caries,0.26567737974063244,0.3103448275862069,0.22938556003987676,0.1411137812222083,0.07416601288424979,0.011494252873563204,0.035680618849985135,0.016369807227651745
color_shift_severe,3,severe_caries,0.6229284872519631,0.46153846153846156,0.5492730976060547,0.3225353874179073,0.07248676413304433,0.2564102564102564,0.2066530178906565,0.14174947632031093
contrast_shift_mild,all,all,0.57362223390627,0.6725425137717965,0.607772019632809,0.37448515597729726,-0.0035854095893039784,-0.012157473304289068,0.010375136065715052,0.007862477639352494
contrast_shift_mild,0,no_caries,0.720007769287794,0.9404672192916352,0.8847515226121838,0.543945891337281,0.016743328033876015,-0.009796533534287888,0.0011103371448702992,-0.0011434498082083522
contrast_shift_mild,1,mild_caries,0.5049691903856621,0.7240618101545254,0.5632977251744296,0.36189529703496365,0.0031683655506420383,-0.052980132450331174,0.0024367434760397266,0.0029243437144844675
contrast_shift_mild,2,moderate_caries,0.3437369889705684,0.3333333333333333,0.24812807333176126,0.14860111006012253,-0.003893596345686201,-0.011494252873563204,0.01693810555810063,0.00888247838973752
contrast_shift_mild,3,severe_caries,0.7257749869810555,0.6923076923076923,0.7349107574128614,0.443498325476822,-0.030359735596047988,0.02564102564102566,0.0210153580838498,0.02078653826139626
contrast_shift_medium,all,all,0.5444582779709021,0.6835946920639744,0.594157736817484,0.3608753185900328,0.025578546346063935,-0.02320965159646693,0.023989418881040114,0.02147231502661695
contrast_shift_medium,0,no_caries,0.6901407829339828,0.9533463349055831,0.8791388542785812,0.540283832862255,0.046610314387687146,-0.02267564914823572,0.006723005478472932,0.0025186086668176344
contrast_shift_medium,1,mild_caries,0.4709562074970897,0.7682119205298014,0.5517523401890606,0.3492128334211657,0.037181348439214446,-0.09713024282560712,0.013982128461408672,0.015606807328282402
contrast_shift_medium,2,moderate_caries,0.29283162582380323,0.3333333333333333,0.2322537088026706,0.14092427604915753,0.04701176680107899,-0.011494252873563204,0.03281247008719129,0.01655931240070252
contrast_shift_medium,3,severe_caries,0.7239044956287325,0.6794871794871795,0.7134860439996235,0.41308033202755307,-0.02848924424372501,0.038461538461538436,0.04244007149708773,0.05120453171066519
contrast_shift_severe,all,all,0.5293422608741885,0.6220222392440327,0.554681097095248,0.33066768878568475,0.040694563442777554,0.038362801223474796,0.06346605860327603,0.051679944830965
contrast_shift_severe,0,no_caries,0.649996331588054,0.9464958553127355,0.8464540571861793,0.5160161993946525,0.08675476573361596,-0.015825169555388152,0.03940780257087484,0.026786242134420157
contrast_shift_severe,1,mild_caries,0.44753236113498474,0.7461368653421634,0.5134273581336836,0.3136132931685818,0.06060519480131943,-0.07505518763796915,0.052307110516785715,0.05120634758086634
contrast_shift_severe,2,moderate_caries,0.2668601935585838,0.28735632183908044,0.2083333772919612,0.1328015534762081,0.07298319906629841,0.03448275862068967,0.0567328015979007,0.024682034973651956
contrast_shift_severe,3,severe_caries,0.7529801572151311,0.5080999144821512,0.650509595769168,0.36023970910329683,-0.057564905830123636,0.20984880346656676,0.10541651972754318,0.10404515463492142
gaussian_blur_mild,all,all,0.5721690765237738,0.6510359928798637,0.6206780271758428,0.38496647043061233,-0.0021322522068077943,0.009349047587643766,-0.0025308714773186747,-0.0026188368139625773
gaussian_blur_mild,0,no_caries,0.7400641561723621,0.9290096123415672,0.8857716865930084,0.5415079406628704,-0.0033130588506921077,0.0016610734157801454,9.017316404569264e-05,0.0012945008662021973
gaussian_blur_mild,1,mild_caries,0.5121805210752481,0.669829319390089,0.5660954193522815,0.366492314839119,-0.004042965138943977,0.0012523583141051953,-0.00036095070181219047,-0.001672674089670867
gaussian_blur_mild,2,moderate_caries,0.3336797563992398,0.28735632183908044,0.2697381462578275,0.1617236406020089,0.0061636362256424215,0.03448275862068967,-0.0046719673679656015,-0.004240052152148843
gaussian_blur_mild,3,severe_caries,0.7027518724482453,0.717948717948718,0.7611068565002534,0.4701419856184511,-0.007336621063237847,0.0,-0.005180741003542266,-0.005857121880232852
gaussian_blur_medium,all,all,0.5858607474644444,0.6433489808336914,0.6213103676601271,0.38425773951305797,-0.01582392314747838,0.017036059633816047,-0.003163211961603074,-0.0019101058964082207
gaussian_blur_medium,0,no_caries,0.7443457515003741,0.9291635267520724,0.886906967012878,0.5409077566139254,-0.0075946541787040855,0.0015071590052749828,-0.0010451072558238517,0.0018946849151472156
gaussian_blur_medium,1,mild_caries,0.5166396154290088,0.6622516556291391,0.5663939698197112,0.36616193829862537,-0.008502059492704661,0.008830022075055122,-0.0006595011692419606,-0.0013422975491772515
gaussian_blur_medium,2,moderate_caries,0.3358806220914771,0.26436781609195403,0.26786511341741004,0.16094718615036407,0.003962770533405102,0.05747126436781608,-0.002798934527548147,-0.0034635977005040286
gaussian_blur_medium,3,severe_caries,0.7465770008369174,0.7176129248616,0.7640754203905092,0.4690140769893169,-0.05116174945190988,0.00033579308711795264,-0.00814930489379806,-0.004729213251098652
gaussian_blur_severe,all,all,0.5876134209829731,0.656467839939516,0.6245928253766184,0.3858102925454909,-0.017576596666007083,0.003917200527991493,-0.006445669678094346,-0.0034626589288411225
