condition,task,threshold_class,num_images,TP,TN,FP,FN,sensitivity,specificity,precision,NPV,F1,accuracy
occlusion_severe,moderate_or_severe_cls_ge_2,2,187,36,104,9,38,0.4864864864864865,0.9203539823008849,0.8,0.7323943661971831,0.6050420168067226,0.7486631016042781
occlusion_severe,severe_caries_cls_ge_3,3,187,24,146,4,13,0.6486486486486487,0.9733333333333334,0.8571428571428571,0.9182389937106918,0.7384615384615384,0.9090909090909091
over_exposure_medium,any_caries_cls_ge_1,1,187,116,27,27,17,0.8721804511278195,0.5,0.8111888111888111,0.6136363636363636,0.8405797101449276,0.7647058823529411
over_exposure_medium,moderate_or_severe_cls_ge_2,2,187,43,106,7,31,0.581081081081081,0.9380530973451328,0.86,0.7737226277372263,0.6935483870967741,0.7967914438502673
over_exposure_medium,severe_caries_cls_ge_3,3,187,26,144,6,11,0.7027027027027027,0.96,0.8125,0.9290322580645162,0.7536231884057971,0.9090909090909091
over_exposure_mild,any_caries_cls_ge_1,1,187,115,28,26,18,0.8646616541353384,0.5185185185185185,0.8156028368794326,0.6086956521739131,0.8394160583941607,0.7647058823529411
over_exposure_mild,moderate_or_severe_cls_ge_2,2,187,45,103,10,29,0.6081081081081081,0.911504424778761,0.8181818181818182,0.7803030303030303,0.6976744186046513,0.7914438502673797
over_exposure_mild,severe_caries_cls_ge_3,3,187,28,143,7,9,0.7567567567567568,0.9533333333333334,0.8,0.9407894736842105,0.7777777777777778,0.9144385026737968
over_exposure_severe,any_caries_cls_ge_1,1,187,116,31,23,17,0.8721804511278195,0.5740740740740741,0.8345323741007195,0.6458333333333334,0.8529411764705883,0.786096256684492
over_exposure_severe,moderate_or_severe_cls_ge_2,2,187,42,103,10,32,0.5675675675675675,0.911504424778761,0.8076923076923077,0.762962962962963,0.6666666666666666,0.7754010695187166
over_exposure_severe,severe_caries_cls_ge_3,3,187,26,141,9,11,0.7027027027027027,0.94,0.7428571428571429,0.9276315789473685,0.7222222222222223,0.893048128342246
