condition,class_id,class_name,precision,recall,mAP50,mAP50_95,precision_drop,recall_drop,mAP50_drop,mAP50_95_drop
clean_test,3,severe_caries,0.6954152513850075,0.717948717948718,0.7559261154967112,0.46428486373821826,0.0,0.0,0.0,0.0
color_shift_mild,3,severe_caries,0.7285583047050758,0.6666666666666666,0.7368546677329247,0.44225883326692256,-0.03314305332006828,0.05128205128205132,0.019071447763786442,0.0220260304712957
color_shift_medium,3,severe_caries,0.6408557085798039,0.5641025641025641,0.6500516033694329,0.37994019938530904,0.05455954280520359,0.15384615384615385,0.10587451212727828,0.08434466435290922
color_shift_severe,3,severe_caries,0.6229284872519631,0.46153846153846156,0.5492730976060547,0.3225353874179073,0.07248676413304433,0.2564102564102564,0.2066530178906565,0.14174947632031093
contrast_shift_mild,3,severe_caries,0.7257749869810555,0.6923076923076923,0.7349107574128614,0.443498325476822,-0.030359735596047988,0.02564102564102566,0.0210153580838498,0.02078653826139626
contrast_shift_medium,3,severe_caries,0.7239044956287325,0.6794871794871795,0.7134860439996235,0.41308033202755307,-0.02848924424372501,0.038461538461538436,0.04244007149708773,0.05120453171066519
contrast_shift_severe,3,severe_caries,0.7529801572151311,0.5080999144821512,0.650509595769168,0.36023970910329683,-0.057564905830123636,0.20984880346656676,0.10541651972754318,0.10404515463492142
gaussian_blur_mild,3,severe_caries,0.7027518724482453,0.717948717948718,0.7611068565002534,0.4701419856184511,-0.007336621063237847,0.0,-0.005180741003542266,-0.005857121880232852
gaussian_blur_medium,3,severe_caries,0.7465770008369174,0.7176129248616,0.7640754203905092,0.4690140769893169,-0.05116174945190988,0.00033579308711795264,-0.00814930489379806,-0.004729213251098652
gaussian_blur_severe,3,severe_caries,0.7220281633346609,0.7326445176428074,0.7668384627084359,0.4706692666068858,-0.02661291194965343,-0.014695799694089406,-0.010912347211724738,-0.006384402868667538
jpeg_compression_mild,3,severe_caries,0.7091560606288481,0.717948717948718,0.7566198752539416,0.4596316067821583,-0.01374080924384058,0.0,-0.0006937597572304055,0.004653256956059948
jpeg_compression_medium,3,severe_caries,0.6774551499113911,0.7539924137532183,0.7600533277218545,0.4647928607557491,0.017960101473616374,-0.0360436958045004,-0.00412721222514334,-0.0005079970175308479
jpeg_compression_severe,3,severe_caries,0.6678826382213435,0.7307692307692307,0.7466649090145346,0.44812195310737357,0.027532613163663955,-0.012820512820512775,0.009261206482176543,0.016162910630844685
low_light_mild,3,severe_caries,0.6829932309511895,0.7051282051282052,0.7566237409981481,0.46878868944818075,0.012422020433818015,0.012820512820512775,-0.000697625501436927,-0.0045038257099624945
low_light_medium,3,severe_caries,0.6531851402263733,0.7564102564102564,0.7462537654939563,0.46041152128959045,0.042230111158634176,-0.038461538461538436,0.009672350002754904,0.0038733424486278034
low_light_severe,3,severe_caries,0.5922221010314135,0.7564102564102564,0.6951117198349842,0.4227949111006574,0.103193150353594,-0.038461538461538436,0.06081439566172697,0.041489952637560834
motion_blur_mild,3,severe_caries,0.6538366160560373,0.7307692307692307,0.7601630877459664,0.4635213616687383,0.041578635328970215,-0.012820512820512775,-0.004236972249255233,0.0007635020694799488
motion_blur_medium,3,severe_caries,0.6630754937995976,0.7317112487217462,0.762355535567309,0.467778873884496,0.032339757585409856,-0.013762530773028248,-0.006429420070597769,-0.0034940101462777595
motion_blur_severe,3,severe_caries,0.6568808270040758,0.7363588083517966,0.7561197684435267,0.45930917155568196,0.03853442438093169,-0.018410090403078616,-0.0001936529468155035,0.004975692182536295
occlusion_mild,3,severe_caries,0.68492589765829,0.717948717948718,0.7498998842577779,0.4554247906085588,0.010489353726717443,0.0,0.006026231238933311,0.008860073129659474
occlusion_medium,3,severe_caries,0.6752615387508457,0.6794871794871795,0.6976594339575276,0.4161812931429861,0.02015371263416177,0.038461538461538436,0.058266681539183574,0.04810357059523218
occlusion_severe,3,severe_caries,0.6184539529584141,0.5641025641025641,0.5685696690340252,0.3354164243580891,0.07696129842659338,0.15384615384615385,0.187356446462686,0.12886843938012915
over_exposure_mild,3,severe_caries,0.6610180338053595,0.7564102564102564,0.7585216198442327,0.46260106792365924,0.034397217579647976,-0.038461538461538436,-0.002595504347521538,0.0016837958145590193
over_exposure_medium,3,severe_caries,0.6589584887043487,0.7564102564102564,0.7377066676123214,0.44077462055065697,0.03645676268065878,-0.038461538461538436,0.018219447884389783,0.023510243187561286
over_exposure_severe,3,severe_caries,0.623533518892794,0.7051282051282052,0.6928662349107171,0.40965443226596293,0.07188173249221352,0.012820512820512775,0.0630598805859941,0.054630431472255325
